Sangster International Airport, JM 
Month  Day    Year     Temp      QNH          Hour 
January    1    2018       25   1015.9       7:00 PM 
January    1    2018       25   1015.9       8:00 PM 
January    1    2018       25   1014.9       9:00 PM 
January    1    2018       25   1014.9      10:00 PM 
January    1    2018       25   1014.9      11:00 PM 
January    1    2018       25   1014.9      12:00 AM 
January    1    2018       24   1015.9       1:00 AM 
January    1    2018       24   1015.9       2:00 AM 
January    1    2018       26   1016.9       3:00 AM 
January    1    2018       27   1017.9       4:00 AM 
January    1    2018       28   1017.9       5:00 AM 
January    1    2018       29   1016.9       6:00 AM 
January    1    2018       29   1015.9       7:00 AM 
January    1    2018       30   1014.9       8:00 AM 
January    1    2018       29   1013.9       9:00 AM 
January    1    2018       29   1013.9      10:00 AM 
January    1    2018       28   1013.9      11:00 AM 
January    1    2018       27   1013.9      12:00 PM 
January    1    2018       26   1013.9       1:00 PM 
January    1    2018       25   1014.9       2:00 PM 
January    1    2018       25   1015.9       3:00 PM 
January    1    2018       25   1015.9       4:00 PM 
January    1    2018       25   1015.9       5:00 PM 
January    1    2018       24   1015.9       6:00 PM 
January    2    2018       25   1015.9       7:00 PM 
January    2    2018       24   1014.9       8:00 PM 
January    2    2018       24   1013.9       9:00 PM 
January    2    2018       25   1013.9      10:00 PM 
January    2    2018       25   1013.9      11:00 PM 
January    2    2018       24   1012.9      12:00 AM 
January    2    2018       24   1013.9       1:00 AM 
January    2    2018       24   1013.9       2:00 AM 
January    2    2018       25   1014.9       3:00 AM 
January    2    2018       27   1015.9       4:00 AM 
January    2    2018       27   1015.9       5:00 AM 
January    2    2018       28   1015.9       6:00 AM 
January    2    2018       28   1014.9       7:00 AM 
January    2    2018       28   1013.9       8:00 AM 
January    2    2018       28   1012.9       9:00 AM 
January    2    2018       28   1011.9      10:00 AM 
January    2    2018       28   1011.9      11:00 AM 
January    2    2018       27   1011.9      12:00 PM 
January    2    2018       27   1012.9       1:00 PM 
January    2    2018       27   1012.9       2:00 PM 
January    2    2018       26   1013.9       3:00 PM 
January    2    2018       26   1013.9       4:00 PM 
January    2    2018       25   1012.9       5:00 PM 
January    2    2018       25   1013.9       6:00 PM 
January    3    2018       25   1012.9       7:00 PM 
January    3    2018       25   1012.9       8:00 PM 
January    3    2018       25   1011.9       9:00 PM 
January    3    2018       24   1010.9      10:00 PM 
January    3    2018       24   1010.9      11:00 PM 
January    3    2018       24   1010.9      12:00 AM 
January    3    2018       24   1011.9       1:00 AM 
January    3    2018       24   1011.9       2:00 AM 
January    3    2018       25   1012.9       3:00 AM 
January    3    2018       26   1012.9       4:00 AM 
January    3    2018       27   1013.9       5:00 AM 
January    3    2018       28   1012.9       6:00 AM 
January    3    2018       29   1012.9       7:00 AM 
January    3    2018       28   1011.9       8:00 AM 
January    3    2018       29   1011.9       9:00 AM 
January    3    2018       28   1010.9      10:00 AM 
January    3    2018       28   1010.9      11:00 AM 
January    3    2018       27   1011.9      12:00 PM 
January    3    2018       26   1011.9       1:00 PM 
January    3    2018       27   1012.9       2:00 PM 
January    3    2018       26   1012.9       3:00 PM 
January    3    2018       26   1013.9       4:00 PM 
January    3    2018       26   1013.9       5:00 PM 
January    3    2018       26   1013.9       6:00 PM 
January    4    2018       26   1013.9       7:00 PM 
January    4    2018       26   1013.9       8:00 PM 
January    4    2018       26   1012.9       9:00 PM 
January    4    2018       26   1011.9      10:00 PM 
January    4    2018       26   1012.9      11:00 PM 
January    4    2018       26   1012.9      12:00 AM 
January    4    2018       26   1012.9       1:00 AM 
January    4    2018       25   1013.9       2:00 AM 
January    4    2018       25   1014.9       3:00 AM 
